Aircraft id,Aircraft name,Manufacturer,Country,Category,Role,Engine_type,Engines,WTC,Seats,First_flight,Last_manufactured,Number_built
___,_undefined,_undefined,_unknown_,_unknown_,_unknown_,_unknown_,?,,,,,
___B,_ undefined Balloon,_undefined,_unknown_,Balloon,Balloon,No engine,0,Light,,,,
___G,_ undefined Glider,_undefined,_unknown_,Landplane,Glider,No engine,0,Light,,,,
___H,_ undefined Helicopter,_undefined,_unknown_,Helicopter,Helicopter,_unknown_,?,,,,,
___I,_ undefined Paraglider,_undefined,_unknown_,Landplane,General Aviation,_unknown_,?,,,,,
___M,_ undefined Motoglider,_undefined,_unknown_,Landplane,Motor-Glider,Piston,1,Light,,,,
___P,_ undefined Piston,_undefined,_unknown_,Landplane,General Aviation,Piston,?,,,,,
___U,_ undefined Ultralight,_undefined,_unknown_,Landplane,Ultralight,Piston,1,Light,,,,
___Y,_ undefined Gyro,_undefined,_unknown_,Gyrocopter,General Aviation,Piston,1,Light,,,,
__A109S,AgustaWestland AW109S Grand,AgustaWestland,Italy,Helicopter,Helicopter,Turboprop,2,Light,8,2005,,
__A17,Northrop A-17,Northrop Corporation,United States,Landplane,Other military,Piston,1,Light,2,1935,?,446
__A2,Douglas A2D Skyshark,Douglas Aircraft Company,United States,Landplane,Other military,Turboprop,2,Medium,1,1950,?,12
__A249,Leonardo Helicopters AW249,Leonardo Helicopters,Italy,Helicopter,Military Helicopter,Turboprop,2,Light,2,?,,
__A320,Airbus A320 family,Airbus SAS,_unknown_,Landplane,Passenger Airliner,Jet,2,Medium,199,1987,,8 605
__A330,Airbus A330 family,Airbus SAS,_unknown_,Landplane,Passenger Airliner,Jet,2,Heavy,335,1992,,1 439
__A33MRT,Airbus A330 MRTT,Airbus SAS,_unknown_,Landplane,Military Refueler,Jet,2,Heavy,3,2007,,29
__A340,Airbus A340 family,Airbus SAS,_unknown_,Landplane,Passenger Airliner,Jet,4,Heavy,419,1991,2011,380
__A350,Airbus A350 XWB family,Airbus SAS,_unknown_,Landplane,Passenger Airliner,Jet,2,Heavy,387,2013,,240
__A5,North American A-5 Vigilante,North American Aviation,United States,Landplane,Bomber,Jet,2,,2,1958,1970,156
__A5M,Mitsubishi A5M,Mitsubishi Heavy Industries,Japan,Landplane,Fighter,Piston,1,Light,1,1935,1945,1 094
__A650,Armstrong Whitworth AW 650 Argosy,Sir W.G.Armstrong Whitworth Aircraft,United Kingdom,Landplane,Passenger Airliner,Turboprop,4,Medium,89,1959,?,74
__A8,Curtiss A-8 Shrike,Curtiss-Wright Corporation,United States,Landplane,Other military,Piston,1,Light,2,1931,?,13
__AA2,American Aviation AA-2 Patriot,American Aviation Corporation,United States,Landplane,General Aviation,Piston,1,Light,4,1970,,2
__AACA,Advanced Aeromarine Carrera,Advanced Aeromarine,United States,Landplane,Ultralight,Piston,1,Light,2,?,,
__AACO,Advanced Aviation Cobra,Advanced Aviation Inc,United States,Landplane,Ultralight,Piston,1,Light,1,?,,
__AADE,American Aerolights Double Eagle,American Aerolights,United States,Landplane,Ultralight,Piston,1,Light,2,1982,,
